etab|x|y|annee|commune|secteur|acad|dep|nom_norme|ep|effectif_1er_cycle|ips_total|note_ecrit_dnb|ens_inf_35_ans
0470102F|508819|6369997.7|2016|47252|public|Bordeaux|47|COLLEGE PAUL FROMENT|REP|304|82.7|10.3|24.7
0470102F|508819|6369997.7|2017|47252|public|Bordeaux|47|COLLEGE PAUL FROMENT|REP|300|91.1|10.2|29.5
0470103G|475920.3|6381852.1|2014|47157|public|Bordeaux|47|COLLEGE JEAN MOULIN|Hors EP|614|106.9|10.4|21.6
0470103G|475920.3|6381852.1|2015|47157|public|Bordeaux|47|COLLEGE JEAN MOULIN|Hors EP|616|99.5|11.1|14.2
0470103G|475920.3|6381852.1|2016|47157|public|Bordeaux|47|COLLEGE JEAN MOULIN|Hors EP|609|112.9|10.2|25.4
0470103G|475920.3|6381852.1|2017|47157|public|Bordeaux|47|COLLEGE JEAN MOULIN|Hors EP|621|108.4|10.1|13.6
0470104H|486440.7|6369566.9|2014|47310|public|Bordeaux|47|COLLEGE GERMILLAC|REP|511|133.9|10.8|33.8
0470104H|486440.7|6369566.9|2015|47310|public|Bordeaux|47|COLLEGE GERMILLAC|REP|484|110.3|10.1|14.3
0470104H|486440.7|6369566.9|2016|47310|public|Bordeaux|47|COLLEGE GERMILLAC|REP|474|103.1|12.4|10.2
0470104H|486440.7|6369566.9|2017|47310|public|Bordeaux|47|COLLEGE GERMILLAC|REP|448|94.2|10.2|0.2
0470105J|508135.5|6345243.9|2014|47201|public|Bordeaux|47|COLLEGE THEOPHILE DE VIAU LE PASSAGE|Hors EP|726|91.6|12.9|6.3
0470105J|508135.5|6345243.9|2015|47201|public|Bordeaux|47|COLLEGE THEOPHILE DE VIAU LE PASSAGE|Hors EP|747|84|10.2|32.4
0470105J|508135.5|6345243.9|2016|47201|public|Bordeaux|47|COLLEGE THEOPHILE DE VIAU LE PASSAGE|Hors EP|774|119.8|12.5|43
0470105J|508135.5|6345243.9|2017|47201|public|Bordeaux|47|COLLEGE THEOPHILE DE VIAU LE PASSAGE|Hors EP|771|100.1|10.6|14
0470677F|510695.7|6346825.9|2014|47001|public|Bordeaux|47|COLLEGE DUCOS DU HAURON|REP|451|105.6|12.2|39.7
0470677F|510695.7|6346825.9|2015|47001|public|Bordeaux|47|COLLEGE DUCOS DU HAURON|REP|445|100.4|10.1|22.1
0470677F|510695.7|6346825.9|2016|47001|public|Bordeaux|47|COLLEGE DUCOS DU HAURON|REP|464|78.6|13.7|34
0470677F|510695.7|6346825.9|2017|47001|public|Bordeaux|47|COLLEGE DUCOS DU HAURON|REP|528|87.4|10.3|12.5
0470678G|521329|6370788.2|2014|47323|public|Bordeaux|47|COLLEGE ANDRE CROCHEPIERRE|Hors EP|396|105.2|10.7|8.1
0470678G|521329|6370788.2|2015|47323|public|Bordeaux|47|COLLEGE ANDRE CROCHEPIERRE|Hors EP|392|133|10.1|45
0470678G|521329|6370788.2|2016|47323|public|Bordeaux|47|COLLEGE ANDRE CROCHEPIERRE|Hors EP|413|135.8|8.2|34.2
0470678G|521329|6370788.2|2017|47323|public|Bordeaux|47|COLLEGE ANDRE CROCHEPIERRE|Hors EP|410|133.4|12.5|24.8
0470720C|513666.8|6345825.5|2014|47032|public|Bordeaux|47|COLLEGE LA ROCAL|Hors EP|705|109.2|11.9|28.6
0470720C|513666.8|6345825.5|2015|47032|public|Bordeaux|47|COLLEGE LA ROCAL|Hors EP|737|105.1|10.4|21.1
0470720C|513666.8|6345825.5|2016|47032|public|Bordeaux|47|COLLEGE LA ROCAL|Hors EP|763|119.9|10.7|26.8
0470720C|513666.8|6345825.5|2017|47032|public|Bordeaux|47|COLLEGE LA ROCAL|Hors EP|749|114.5|13.1|14.7
0470732R|500654.3|6369898.7|2014|47054|public|Bordeaux|47|COLLEGE LUCIE AUBRAC|Hors EP|230|92.9|9.6|22.6
0470732R|500654.3|6369898.7|2015|47054|public|Bordeaux|47|COLLEGE LUCIE AUBRAC|Hors EP|244|119.2|9.5|14.8
0470732R|500654.3|6369898.7|2016|47054|public|Bordeaux|47|COLLEGE LUCIE AUBRAC|Hors EP|268|103.9|6.1|3.9
0470732R|500654.3|6369898.7|2017|47054|public|Bordeaux|47|COLLEGE LUCIE AUBRAC|Hors EP|246|115.5|12.4|24.6
0470733S|474129.5|6382634.2|2014|47157|public|Bordeaux|47|COLLEGE CITE SCOLAIRE|Hors EP|681|87.5|10.2|31.9
0470733S|474129.5|6382634.2|2015|47157|public|Bordeaux|47|COLLEGE CITE SCOLAIRE|Hors EP|680|124.4|9.3|18.2
0470733S|474129.5|6382634.2|2016|47157|public|Bordeaux|47|COLLEGE CITE SCOLAIRE|Hors EP|660|131.4|12.9|25.3
0470733S|474129.5|6382634.2|2017|47157|public|Bordeaux|47|COLLEGE CITE SCOLAIRE|Hors EP|668|103.9|13|25.4
0470774L|487571.3|6359334.1|2014|47004|public|Bordeaux|47|COLLEGE STENDHAL|Hors EP|442|125.8|12.1|5.2
0470774L|487571.3|6359334.1|2015|47004|public|Bordeaux|47|COLLEGE STENDHAL|Hors EP|411|99.3|9.9|38.3
0470774L|487571.3|6359334.1|2016|47004|public|Bordeaux|47|COLLEGE STENDHAL|Hors EP|397|80.3|9.7|24.5
0470774L|487571.3|6359334.1|2017|47004|public|Bordeaux|47|COLLEGE STENDHAL|Hors EP|413|99.3|10.3|54.8
0470775M|484247|6345675.8|2014|47143|public|Bordeaux|47|COLLEGE LA PLAINE|Hors EP|248|85.2|10.8|30.6
0470775M|484247|6345675.8|2015|47143|public|Bordeaux|47|COLLEGE LA PLAINE|Hors EP|229|94.9|11.2|27.7
0470775M|484247|6345675.8|2016|47143|public|Bordeaux|47|COLLEGE LA PLAINE|Hors EP|241|84.2|13.2|19.1
0470775M|484247|6345675.8|2017|47143|public|Bordeaux|47|COLLEGE LA PLAINE|Hors EP|236|94.1|10.5|33.1
0470776N|486750.2|6341536.8|2014|47195|public|Bordeaux|47|COLLEGE HENRI DE NAVARRE|Hors EP|433|94.7|10.7|21.3
0470776N|486750.2|6341536.8|2015|47195|public|Bordeaux|47|COLLEGE HENRI DE NAVARRE|Hors EP|416|114.4|13.9|18.2
0470776N|486750.2|6341536.8|2016|47195|public|Bordeaux|47|COLLEGE HENRI DE NAVARRE|Hors EP|410|95|9.7|47.1
0470776N|486750.2|6341536.8|2017|47195|public|Bordeaux|47|COLLEGE HENRI DE NAVARRE|Hors EP|433|125.9|7.4|36.3
0470777P|509365.3|6347638.5|2014|47001|public|Bordeaux|47|COLLEGE JOSEPH CHAUMIE|Hors EP|699|105.9|7.7|0
0470777P|509365.3|6347638.5|2015|47001|public|Bordeaux|47|COLLEGE JOSEPH CHAUMIE|Hors EP|655|103.2|10.3|42.5
0470777P|509365.3|6347638.5|2016|47001|public|Bordeaux|47|COLLEGE JOSEPH CHAUMIE|Hors EP|607|85.4|7.4|21.5
0470777P|509365.3|6347638.5|2017|47001|public|Bordeaux|47|COLLEGE JOSEPH CHAUMIE|Hors EP|646|119.5|8.6|48.1
0470811B|518020.1|6369824.6|2014|47323|privé sous contrat|Bordeaux|47|COLLEGE PRIVE SAINTE CATHERINE|Hors EP|349|108.1|11.5|23.6
0470811B|518020.1|6369824.6|2015|47323|privé sous contrat|Bordeaux|47|COLLEGE PRIVE SAINTE CATHERINE|Hors EP|383|92.7|11.1|0
0470811B|518020.1|6369824.6|2016|47323|privé sous contrat|Bordeaux|47|COLLEGE PRIVE SAINTE CATHERINE|Hors EP|425|112.4|12.7|19
0470811B|518020.1|6369824.6|2017|47323|privé sous contrat|Bordeaux|47|COLLEGE PRIVE SAINTE CATHERINE|Hors EP|426|105.9|14.2|8.3
0471038Y|486188.1|6341673.1|2014|47195|privé sous contrat|Bordeaux|47|COLLEGE PRIVE SAINTE CLAIRE|Hors EP|83|78.3|12.9|41.9
0471038Y|486188.1|6341673.1|2015|47195|privé sous contrat|Bordeaux|47|COLLEGE PRIVE SAINTE CLAIRE|Hors EP|74|95.8|10.1|9.5
0471038Y|486188.1|6341673.1|2016|47195|privé sous contrat|Bordeaux|47|COLLEGE PRIVE SAINTE CLAIRE|Hors EP|78|105.3|11.7|43
0471038Y|486188.1|6341673.1|2017|47195|privé sous contrat|Bordeaux|47|COLLEGE PRIVE SAINTE CLAIRE|Hors EP|92|82.6|10.6|19.3
0480001R|758669.8|6376973.9|2014|48027|public|Montpellier|48|COLLEGE HENRI ROUVIERE|Hors EP|76|127.9|12.4|24.5
0480001R|758669.8|6376973.9|2015|48027|public|Montpellier|48|COLLEGE HENRI ROUVIERE|Hors EP|72|112.3|11.6|27.8
0480001R|758669.8|6376973.9|2016|48027|public|Montpellier|48|COLLEGE HENRI ROUVIERE|Hors EP|80|113.9|12.7|24.4
0480001R|758669.8|6376973.9|2017|48027|public|Montpellier|48|COLLEGE HENRI ROUVIERE|Hors EP|82|108.7|5.9|19.4
0480002S|773458.4|6350079.8|2014|48051|public|Montpellier|48|COLLEGE HENRI GAMALA|Hors EP|84|55|12.2|24
0480002S|773458.4|6350079.8|2015|48051|public|Montpellier|48|COLLEGE HENRI GAMALA|Hors EP|79|100.1|13.9|5.5
0480002S|773458.4|6350079.8|2016|48051|public|Montpellier|48|COLLEGE HENRI GAMALA|Hors EP|95|113.7|12.7|31.2
0480002S|773458.4|6350079.8|2017|48051|public|Montpellier|48|COLLEGE HENRI GAMALA|Hors EP|84|125.9|12.2|0.4
0480003T|747658.6|6358277.7|2014|48061|public|Montpellier|48|COLLEGE DES TROIS VALLEES|Hors EP|260|93.3|8.1|42.8
0480003T|747658.6|6358277.7|2015|48061|public|Montpellier|48|COLLEGE DES TROIS VALLEES|Hors EP|244|125.7|7.5|34.4
0480003T|747658.6|6358277.7|2016|48061|public|Montpellier|48|COLLEGE DES TROIS VALLEES|Hors EP|236|108.6|6.8|24.9
0480003T|747658.6|6358277.7|2017|48061|public|Montpellier|48|COLLEGE DES TROIS VALLEES|Hors EP|246|115.3|10.4|42
0480004U|767533|6403078.6|2014|48080|public|Montpellier|48|COLLEGE MARTHE DUPEYRON|Hors EP|203|132.2|10.2|15.4
0480004U|767533|6403078.6|2015|48080|public|Montpellier|48|COLLEGE MARTHE DUPEYRON|Hors EP|223|113.7|9.9|16.9
0480004U|767533|6403078.6|2016|48080|public|Montpellier|48|COLLEGE MARTHE DUPEYRON|Hors EP|225|69.8|10.5|29
0480004U|767533|6403078.6|2017|48080|public|Montpellier|48|COLLEGE MARTHE DUPEYRON|Hors EP|237|123.9|12.1|43.1
0480005V|723283.3|6384246.7|2014|48092|public|Montpellier|48|COLLEGE MARCEL PIERREL|Hors EP|252|83.6|9.1|12.3
0480005V|723283.3|6384246.7|2015|48092|public|Montpellier|48|COLLEGE MARCEL PIERREL|Hors EP|250|108.5|8.3|16.2
0480005V|723283.3|6384246.7|2016|48092|public|Montpellier|48|COLLEGE MARCEL PIERREL|Hors EP|232|108.7|12.1|0
0480005V|723283.3|6384246.7|2017|48092|public|Montpellier|48|COLLEGE MARCEL PIERREL|Hors EP|213|104.4|10.3|4.7
0480006W|717455.5|6370182|2014|48034|public|Montpellier|48|COLLEGE SPORT NATURE|Hors EP|281|131.7|10.3|31.6
0480006W|717455.5|6370182|2015|48034|public|Montpellier|48|COLLEGE SPORT NATURE|Hors EP|259|108.1|11.1|31.2
0480006W|717455.5|6370182|2016|48034|public|Montpellier|48|COLLEGE SPORT NATURE|Hors EP|248|118.9|10.7|32.5
0480006W|717455.5|6370182|2017|48034|public|Montpellier|48|COLLEGE SPORT NATURE|Hors EP|257|108.6|9.6|17.7
0480011B|734494.3|6342421|2014|48096|public|Montpellier|48|COLLEGE ANDRE CHAMSON|Hors EP|67|97.7|11.3|13.2
0480011B|734494.3|6342421|2015|48096|public|Montpellier|48|COLLEGE ANDRE CHAMSON|Hors EP|69|94.7|11|21.5
0480011B|734494.3|6342421|2016|48096|public|Montpellier|48|COLLEGE ANDRE CHAMSON|Hors EP|73|115.9|10.8|29.7
0480011B|734494.3|6342421|2017|48096|public|Montpellier|48|COLLEGE ANDRE CHAMSON|Hors EP|91|117.8|9.8|32
0480013D|721323.8|6412058.4|2014|48140|public|Montpellier|48|COLLEGE HAUT GEVAUDAN|Hors EP|348|104.9|7.6|19.3
0480013D|721323.8|6412058.4|2015|48140|public|Montpellier|48|COLLEGE HAUT GEVAUDAN|Hors EP|302|114.8|11.7|44.5
0480013D|721323.8|6412058.4|2016|48140|public|Montpellier|48|COLLEGE HAUT GEVAUDAN|Hors EP|282|93.1|13.1|36.1
0480013D|721323.8|6412058.4|2017|48140|public|Montpellier|48|COLLEGE HAUT GEVAUDAN|Hors EP|315|116.2|10.8|0
0480015F|767336.2|6341186.4|2014|48148|public|Montpellier|48|COLLEGE ACHILLE ROUSSON|Hors EP|94|103.6|11.6|42.9
0480015F|767336.2|6341186.4|2015|48148|public|Montpellier|48|COLLEGE ACHILLE ROUSSON|Hors EP|79|92.8|10.1|24.1
0480015F|767336.2|6341186.4|2016|48148|public|Montpellier|48|COLLEGE ACHILLE ROUSSON|Hors EP|81|95.2|8.6|17
0480015F|767336.2|6341186.4|2017|48148|public|Montpellier|48|COLLEGE ACHILLE ROUSSON|Hors EP|61|126.7|11|24.7
0480016G|771440.8|6359757.6|2014|48194|public|Montpellier|48|COLLEGE DU TRENZE|Hors EP|43|95|8.2|15.5
0480016G|771440.8|6359757.6|2015|48194|public|Montpellier|48|COLLEGE DU TRENZE|Hors EP|31|114|6.9|25.2
0480016G|771440.8|6359757.6|2016|48194|public|Montpellier|48|COLLEGE DU TRENZE|Hors EP|33|140.5|11.1|18.1
0480016G|771440.8|6359757.6|2017|48194|public|Montpellier|48|COLLEGE DU TRENZE|Hors EP|34|93|8.7|22.1
0480017H|773779.3|6371755.1|2014|48198|public|Montpellier|48|COLLEGE ODILON BARROT|Hors EP|81|128.9|9.9|32
0480017H|773779.3|6371755.1|2015|48198|public|Montpellier|48|COLLEGE ODILON BARROT|Hors EP|83|94.4|12.1|24.5
0480017H|773779.3|6371755.1|2016|48198|public|Montpellier|48|COLLEGE ODILON BARROT|Hors EP|71|106.8|11.1|47
0480017H|773779.3|6371755.1|2017|48198|public|Montpellier|48|COLLEGE ODILON BARROT|Hors EP|77|65.7|11.9|33
0480024R|723051.9|6384226.9|2014|48092|privé sous contrat|Montpellier|48|COLLEGE PRIVE NOTRE DAME|Hors EP|325|155.1|9.8|28.8
0480024R|723051.9|6384226.9|2015|48092|privé sous contrat|Montpellier|48|COLLEGE PRIVE NOTRE DAME|Hors EP|314|117.6|10.3|0
0480024R|723051.9|6384226.9|2016|48092|privé sous contrat|Montpellier|48|COLLEGE PRIVE NOTRE DAME|Hors EP|315|105.7|11.7|31.2
0480024R|723051.9|6384226.9|2017|48092|privé sous contrat|Montpellier|48|COLLEGE PRIVE NOTRE DAME|Hors EP|306|88.4|11.4|34.9
0480032Z|739808.2|6379700.6|2014|48095|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT PRIVAT|Hors EP|300|107.6|12.1|14.9
0480032Z|739808.2|6379700.6|2015|48095|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT PRIVAT|Hors EP|307|115|9.7|16.3
0480032Z|739808.2|6379700.6|2016|48095|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT PRIVAT|Hors EP|305|96.7|11.1|13.5
0480032Z|739808.2|6379700.6|2017|48095|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT PRIVAT|Hors EP|299|114.4|11.1|23
0480034B|734321.6|6342200.8|2014|48096|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINTE MARIE|Hors EP|100|125.5|11|33.4
0480034B|734321.6|6342200.8|2015|48096|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINTE MARIE|Hors EP|90|110|9.1|10.8
0480034B|734321.6|6342200.8|2016|48096|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINTE MARIE|Hors EP|85|134.9|12.4|40
0480034B|734321.6|6342200.8|2017|48096|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINTE MARIE|Hors EP|74|63.9|14|28.7
0480035C|730626.8|6409238.8|2014|48132|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT REGIS|Hors EP|50|135.2|13.9|48
0480035C|730626.8|6409238.8|2015|48132|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT REGIS|Hors EP|55|88.7|9.7|16.6
0480035C|730626.8|6409238.8|2016|48132|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT REGIS|Hors EP|61|117|9.3|30.4
0480035C|730626.8|6409238.8|2017|48132|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT REGIS|Hors EP|49|95.1|10.6|24.4
0480038F|721627.6|6411226.7|2014|48140|privé sous contrat|Montpellier|48|COLLEGE PRIVE SACRE COEUR|Hors EP|271|108.5|10.1|46.4
0480038F|721627.6|6411226.7|2015|48140|privé sous contrat|Montpellier|48|COLLEGE PRIVE SACRE COEUR|Hors EP|273|114.5|11.6|29.2
0480038F|721627.6|6411226.7|2016|48140|privé sous contrat|Montpellier|48|COLLEGE PRIVE SACRE COEUR|Hors EP|277|136.8|10.9|1.7
0480038F|721627.6|6411226.7|2017|48140|privé sous contrat|Montpellier|48|COLLEGE PRIVE SACRE COEUR|Hors EP|276|105.5|12.7|57.9
0480607Z|740263.3|6380295.6|2014|48095|public|Montpellier|48|COLLEGE HENRI BOURRILLON|Hors EP|665|110.2|11.2|46.2
0480607Z|740263.3|6380295.6|2015|48095|public|Montpellier|48|COLLEGE HENRI BOURRILLON|Hors EP|699|115.3|10.4|18.7
0480607Z|740263.3|6380295.6|2016|48095|public|Montpellier|48|COLLEGE HENRI BOURRILLON|Hors EP|685|153.8|14.1|44.2
0480607Z|740263.3|6380295.6|2017|48095|public|Montpellier|48|COLLEGE HENRI BOURRILLON|Hors EP|738|121.7|11.9|9.6
0480678B|767550.5|6403218.6|2014|48080|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT PIERRE SAINT PAUL|Hors EP|89|62|10.1|30.1
0480678B|767550.5|6403218.6|2015|48080|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT PIERRE SAINT PAUL|Hors EP|93|91|9.2|40.3
0480678B|767550.5|6403218.6|2016|48080|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT PIERRE SAINT PAUL|Hors EP|104|119|10.7|29.8
0480678B|767550.5|6403218.6|2017|48080|privé sous contrat|Montpellier|48|COLLEGE PRIVE SAINT PIERRE SAINT PAUL|Hors EP|101|91.2|7.4|1
0490004N|433120.5|6713575.9|2014|49007|public|Nantes|49|COLLEGE CHEVREUL|Hors EP|544|99.9|9.6|9.4
0490004N|433120.5|6713575.9|2015|49007|public|Nantes|49|COLLEGE CHEVREUL|Hors EP|562|88.9|9.1|11.7
0490004N|433120.5|6713575.9|2016|49007|public|Nantes|49|COLLEGE CHEVREUL|Hors EP|565|111.4|9.9|34.7
0490004N|433120.5|6713575.9|2017|49007|public|Nantes|49|COLLEGE CHEVREUL|Hors EP|567|94|12.3|20.9
0490010V|466278|6720928.8|2014|49018|public|Nantes|49|COLLEGE CHATEAUCOIN|Hors EP|437|114.8|9.1|12.3
0490010V|466278|6720928.8|2015|49018|public|Nantes|49|COLLEGE CHATEAUCOIN|Hors EP|421|118.1|10.7|16.7
0490010V|466278|6720928.8|2016|49018|public|Nantes|49|COLLEGE CHATEAUCOIN|Hors EP|429|92.6|8.2|35.9
0490010V|466278|6720928.8|2017|49018|public|Nantes|49|COLLEGE CHATEAUCOIN|Hors EP|399|82.9|9.9|17.7
0490014Z|440156.6|6700363.7|2014|49050|public|Nantes|49|COLLEGE DE L AUBANCE|Hors EP|427|111.4|10.7|13.9
0490014Z|440156.6|6700363.7|2015|49050|public|Nantes|49|COLLEGE DE L AUBANCE|Hors EP|439|96.6|11.2|21.6
0490014Z|440156.6|6700363.7|2016|49050|public|Nantes|49|COLLEGE DE L AUBANCE|Hors EP|437|127.4|12.7|23.7
0490014Z|440156.6|6700363.7|2017|49050|public|Nantes|49|COLLEGE DE L AUBANCE|Hors EP|439|103.7|11.3|28.3
0490017C|418199.7|6685907.6|2014|49092|public|Nantes|49|COLLEGE PIERRE ET MARIE CURIE|Hors EP|388|134.1|10.3|25.3
0490017C|418199.7|6685907.6|2015|49092|public|Nantes|49|COLLEGE PIERRE ET MARIE CURIE|Hors EP|380|86.9|10.6|24.5
0490017C|418199.7|6685907.6|2016|49092|public|Nantes|49|COLLEGE PIERRE ET MARIE CURIE|Hors EP|402|106.6|11.7|42.3
0490017C|418199.7|6685907.6|2017|49092|public|Nantes|49|COLLEGE PIERRE ET MARIE CURIE|Hors EP|413|92|11.3|38.4
0490022H|406214.8|6668803.3|2014|49099|public|Nantes|49|COLLEGE GEORGES CLEMENCEAU|Hors EP|442|102.1|9|56.3
0490022H|406214.8|6668803.3|2015|49099|public|Nantes|49|COLLEGE GEORGES CLEMENCEAU|Hors EP|436|78.2|9.8|20.3
0490022H|406214.8|6668803.3|2016|49099|public|Nantes|49|COLLEGE GEORGES CLEMENCEAU|Hors EP|403|122.5|10.8|29
0490022H|406214.8|6668803.3|2017|49099|public|Nantes|49|COLLEGE GEORGES CLEMENCEAU|Hors EP|420|100.2|12|5.2
0490023J|451872.3|6682493.3|2014|49125|public|Nantes|49|COLLEGE LUCIEN MILLET|Hors EP|402|131.1|12.2|17.1
0490023J|451872.3|6682493.3|2015|49125|public|Nantes|49|COLLEGE LUCIEN MILLET|Hors EP|385|104.6|10.1|24.6
0490023J|451872.3|6682493.3|2016|49125|public|Nantes|49|COLLEGE LUCIEN MILLET|Hors EP|420|81.5|10.9|25.5
0490023J|451872.3|6682493.3|2017|49125|public|Nantes|49|COLLEGE LUCIEN MILLET|Hors EP|411|118.9|11|35.6
0490026M|403944.4|6708124.9|2014|49160|public|Nantes|49|COLLEGE MARYSE BASTIE|Hors EP|231|123.5|9.4|12.4
0490026M|403944.4|6708124.9|2015|49160|public|Nantes|49|COLLEGE MARYSE BASTIE|Hors EP|251|80.3|11.3|22.5
0490026M|403944.4|6708124.9|2016|49160|public|Nantes|49|COLLEGE MARYSE BASTIE|Hors EP|250|99.7|11|39.6
0490026M|403944.4|6708124.9|2017|49160|public|Nantes|49|COLLEGE MARYSE BASTIE|Hors EP|270|109.6|9.2|4.4
0490027N|420477|6731985.8|2014|49176|public|Nantes|49|COLLEGE VAL D OUDON|Hors EP|619|94.1|11.8|22.4
0490027N|420477|6731985.8|2015|49176|public|Nantes|49|COLLEGE VAL D OUDON|Hors EP|625|111|11.4|18.1
0490027N|420477|6731985.8|2016|49176|public|Nantes|49|COLLEGE VAL D OUDON|Hors EP|594|88|11.9|0
0490027N|420477|6731985.8|2017|49176|public|Nantes|49|COLLEGE VAL D OUDON|Hors EP|612|104.4|10.9|18.2
0490028P|465282.2|6701703.6|2014|49180|public|Nantes|49|COLLEGE FRANCOIS TRUFFAUT|Hors EP|444|101|11.9|58
0490028P|465282.2|6701703.6|2015|49180|public|Nantes|49|COLLEGE FRANCOIS TRUFFAUT|Hors EP|383|91.3|11.5|36.7
0490028P|465282.2|6701703.6|2016|49180|public|Nantes|49|COLLEGE FRANCOIS TRUFFAUT|Hors EP|363|92.1|10.9|22
0490028P|465282.2|6701703.6|2017|49180|public|Nantes|49|COLLEGE FRANCOIS TRUFFAUT|Hors EP|362|89.6|10.3|37.5
0490029R|407072|6720419|2014|49183|public|Nantes|49|COLLEGE CAMILLE CLAUDEL|Hors EP|486|103.8|10|0
0490029R|407072|6720419|2015|49183|public|Nantes|49|COLLEGE CAMILLE CLAUDEL|Hors EP|463|96.2|9.5|48.5
0490029R|407072|6720419|2016|49183|public|Nantes|49|COLLEGE CAMILLE CLAUDEL|Hors EP|466|131|10|46
0490029R|407072|6720419|2017|49183|public|Nantes|49|COLLEGE CAMILLE CLAUDEL|Hors EP|453|105.4|12.6|40.2
0490032U|428628.2|6720543.6|2014|49214|public|Nantes|49|COLLEGE JEAN ZAY|Hors EP|651|114.1|9.5|35.9
0490032U|428628.2|6720543.6|2015|49214|public|Nantes|49|COLLEGE JEAN ZAY|Hors EP|683|94.5|11.4|10.4
0490032U|428628.2|6720543.6|2016|49214|public|Nantes|49|COLLEGE JEAN ZAY|Hors EP|690|117.3|11.5|15.4
0490032U|428628.2|6720543.6|2017|49214|public|Nantes|49|COLLEGE JEAN ZAY|Hors EP|692|92.1|9.3|42.5
0490034W|394282.5|6691901.2|2014|49218|public|Nantes|49|COLLEGE DE L EVRE|Hors EP|328|106.1|10.5|43.5
0490034W|394282.5|6691901.2|2015|49218|public|Nantes|49|COLLEGE DE L EVRE|Hors EP|336|115.2|12.7|35.1
0490034W|394282.5|6691901.2|2016|49218|public|Nantes|49|COLLEGE DE L EVRE|Hors EP|382|101.2|11.6|15.6
0490034W|394282.5|6691901.2|2017|49218|public|Nantes|49|COLLEGE DE L EVRE|Hors EP|435|85.1|11.2|0
0490037Z|387880.7|6746472.2|2014|49248|public|Nantes|49|COLLEGE PHILIPPE COUSTEAU|Hors EP|288|107.1|7.7|0
0490037Z|387880.7|6746472.2|2015|49248|public|Nantes|49|COLLEGE PHILIPPE COUSTEAU|Hors EP|271|83.1|11.6|17.1
0490037Z|387880.7|6746472.2|2016|49248|public|Nantes|49|COLLEGE PHILIPPE COUSTEAU|Hors EP|283|115.2|13.7|36.6
0490037Z|387880.7|6746472.2|2017|49248|public|Nantes|49|COLLEGE PHILIPPE COUSTEAU|Hors EP|272|115.2|9|17
0490039B|397097|6702947.5|2014|49244|public|Nantes|49|COLLEGE ANJOU BRETAGNE|Hors EP|286|98.8|12.7|35.1
0490039B|397097|6702947.5|2015|49244|public|Nantes|49|COLLEGE ANJOU BRETAGNE|Hors EP|294|80.2|12.9|12
0490039B|397097|6702947.5|2016|49244|public|Nantes|49|COLLEGE ANJOU BRETAGNE|Hors EP|283|108.2|12|52.4
0490039B|397097|6702947.5|2017|49244|public|Nantes|49|COLLEGE ANJOU BRETAGNE|Hors EP|284|98.8|9.8|18.9
0490042E|467212.9|6687323.5|2014|49328|public|Nantes|49|COLLEGE PIERRE MENDES FRANCE|REP|228|98.6|11.8|18.6
0490042E|467212.9|6687323.5|2015|49328|public|Nantes|49|COLLEGE PIERRE MENDES FRANCE|REP|227|142.5|10.7|33.3
0490042E|467212.9|6687323.5|2016|49328|public|Nantes|49|COLLEGE PIERRE MENDES FRANCE|REP|229|118.5|9.2|25.3
0490042E|467212.9|6687323.5|2017|49328|public|Nantes|49|COLLEGE PIERRE MENDES FRANCE|REP|221|106.5|10.9|11
0490046J|435938.2|6690870.5|2014|49345|public|Nantes|49|COLLEGE LES FONTAINES|Hors EP|378|123.5|10.4|26.4
0490046J|435938.2|6690870.5|2015|49345|public|Nantes|49|COLLEGE LES FONTAINES|Hors EP|373|102.6|11.5|35.4
0490046J|435938.2|6690870.5|2016|49345|public|Nantes|49|COLLEGE LES FONTAINES|Hors EP|363|97.9|10.6|11.2
0490046J|435938.2|6690870.5|2017|49345|public|Nantes|49|COLLEGE LES FONTAINES|Hors EP|363|86.5|9.4|18.4
0490048L|436341.5|6711287.7|2014|49353|public|Nantes|49|COLLEGE JEAN ROSTAND|REP|444|107.7|13.2|17.2
0490048L|436341.5|6711287.7|2015|49353|public|Nantes|49|COLLEGE JEAN ROSTAND|REP|426|98.2|7.2|0.5
0490048L|436341.5|6711287.7|2016|49353|public|Nantes|49|COLLEGE JEAN ROSTAND|REP|412|104.7|10.2|22.2
0490048L|436341.5|6711287.7|2017|49353|public|Nantes|49|COLLEGE JEAN ROSTAND|REP|403|100.9|12|24.9
